qstamp,tstamp,measure,beat,Traverso 1,Violin 1,Violin 2,Viola,Soprano 1 solo,Tenor solo,Continuo
100.5,79.3421,26,1.5,B5,D4,r,r,C5,A3,A2
100.75,79.5395,26,1.75,C6,D4,r,r,C5,A3,A2
101.0,79.7368,26,2.0,D6,D4,r,r,B4,G3,B2
101.5,80.1316,26,2.5,D6,D4,r,r,A4,F#3,C3
102.0,80.5263,26,3.0,D6,D4,r,r,B4,G3,B2
102.25,80.7237,26,3.25,C6,D4,r,r,C5,A3,B2
102.5,80.9211,26,3.5,E6,C4,r,r,A4,F#3,G3
102.75,81.1184,26,3.75,D6,B3,r,r,B4,G3,G3
103.0,81.3158,26,4.0,C6,A3,r,r,C5,A3,A2
103.25,81.5132,26,4.25,B5,G3,r,r,D5,B3,A2
103.5,81.7105,26,4.5,D6,B3,r,r,B4,G3,F#3
103.75,81.9079,26,4.75,C6,A3,r,r,C5,A3,F#3
104.0,82.1053,27,1.0,B5,G3,G4,G4,D5,B3,G2
104.25,82.3026,27,1.25,B5,G4,G4,G4,D5,B3,G2
104.5,82.5,27,1.5,B5,F#4,F#4,F#4,D5,B3,A2
104.75,82.6974,27,1.75,B5,E4,E4,E4,D5,B3,A2
105.0,82.8947,27,2.0,r,D4,D4,D4,D5,B3,B2
105.25,83.0921,27,2.25,r,D4,D4,D4,C5,A3,B2
105.5,83.2895,27,2.5,r,D4,D4,D4,B4,G3,C3
105.75,83.4868,27,2.75,r,D4,D4,D4,A4,A3,C3
106.0,83.6842,27,3.0,r,D4,D4,D4,G4,B3,B2
106.25,83.8816,27,3.25,r,C4,C4,C4,A4,C4,B2
106.5,84.0789,27,3.5,r,E4,E4,E4,F#4,A3,G3
106.75,84.2763,27,3.75,r,D4,D4,D4,G4,B3,G3
107.0,84.4737,27,4.0,r,C4,C4,C4,A4,C4,A2
107.25,84.6711,27,4.25,r,B3,B3,B3,B4,D4,A2
107.5,84.8684,27,4.5,r,D4,D4,D4,G4,B3,F#3
107.75,85.0658,27,4.75,r,C4,C4,C4,A4,C4,F#3
108.0,85.2632,28,1.0,D6,B3,B3,B3,B4,D4,G2
108.25,85.4605,28,1.25,C6,B3,B3,B3,C5,E4,G2
108.5,85.6579,28,1.5,B5,r,r,r,D5,F4,G3
108.75,85.8553,28,1.75,A5,r,r,r,D5,F4,G3
109.0,86.0526,28,2.0,G5,r,r,r,D5,F4,B2
109.5,86.4474,28,2.5,G5,r,r,r,C5,E4,C3
110.0,86.8421,28,3.0,G5,r,r,r,C5,E4,G3
110.25,87.0395,28,3.25,F#5,r,r,r,B4,D4,G3
110.5,87.2368,28,3.5,G5,r,r,r,C5,E4,F#3
110.75,87.4342,28,3.75,A5,r,r,r,C5,E4,F#3
111.0,87.6316,28,4.0,B5,r,r,r,B4,D4,G3
111.25,87.8289,28,4.25,A5,r,r,r,B4,D4,G3
111.5,88.0263,28,4.5,G5,r,r,r,B4,D4,E3
111.75,88.2237,28,4.75,A5,r,r,r,B4,D4,E3
112.0,88.4211,29,1.0,F#5,r,r,r,A4,C4,A3
112.25,88.6184,29,1.25,G5,r,r,r,G4,B3,A3
112.5,88.8158,29,1.5,A5,r,r,r,F#4,A3,C4
112.75,89.0132,29,1.75,B5,r,r,r,F#4,A3,B3
113.0,89.2105,29,2.0,C6,r,r,r,F#4,A3,A3
113.25,89.4079,29,2.25,D6,r,r,r,F#4,A3,A3
113.5,89.6053,29,2.5,B5,r,r,r,G4,B3,G3
113.75,89.8026,29,2.75,C6,r,r,r,G4,B3,G3
114.0,90.0,29,3.0,D6,r,r,r,A4,C4,F#3
114.25,90.1974,29,3.25,A5,r,r,r,B4,D4,F#3
114.5,90.3947,29,3.5,G5,r,r,r,C5,E4,E3
114.75,90.5921,29,3.75,F#5,r,r,r,C5,E4,D3
115.0,90.7895,29,4.0,G5,r,r,r,C5,E4,E3
115.25,90.9868,29,4.25,F#5,r,r,r,C5,E4,E3
115.5,91.1842,29,4.5,G5,r,r,r,B4,D4,F#3
115.75,91.3816,29,4.75,A5,r,r,r,A4,C4,F#3
116.0,91.5789,30,1.0,D5,r,r,r,G4,B3,G3
116.25,91.7763,30,1.25,C5,r,r,r,A4,C4,G3
116.5,91.9737,30,1.5,B4,r,r,r,B4,D4,G2
