qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,E Horn 3,E Horn 4,C Trumpet 1,C Trumpet 2,Trombone 1,Trombone 2,Trombone 3,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
82.0,69.2958,21,4.0,r,r,r,r,G#4,r,C4,r,F1,F5,r,r,r,r,r,r,r,r,r,r,r,F3,F2,F1
82.125,69.4014,21,4.125,r,r,r,r,G#4,r,C4,r,F1,F5,r,r,r,r,r,r,r,r,r,r,r,G3,G2,F1
82.25,69.507,21,4.25,r,r,r,r,G#4,r,C4,r,F1,F5,r,r,r,r,r,r,r,r,r,r,r,G#3,G#2,F1
82.375,69.6127,21,4.375,r,r,r,r,G#4,r,C4,r,F1,F5,r,r,r,r,r,r,r,r,r,r,r,B-3,B-2,F1
82.5,69.7183,21,4.5,r,r,r,r,G#4,r,C4,r,F1,F5,r,r,r,r,r,r,r,r,r,r,r,G#3,G#2,F1
82.625,69.8239,21,4.625,r,r,r,r,G#4,r,C4,r,F1,F5,r,r,r,r,r,r,r,r,r,r,r,B-3,B-2,F1
82.75,69.9296,21,4.75,r,r,r,r,G#4,r,C4,r,F1,F5,r,r,r,r,r,r,r,r,r,r,r,C4,C3,F1
82.875,70.0352,21,4.875,r,r,r,r,G#4,r,C4,r,F1,F5,r,r,r,r,r,r,r,r,r,r,r,C#4,C#3,F1
83.0,70.1408,22,1.0,r,r,r,r,r,r,r,r,G1,r,r,r,r,r,r,r,r,r,r,r,r,G3,G2,G1
83.125,70.2465,22,1.125,r,r,r,r,r,r,r,r,G1,r,r,r,r,r,r,r,r,r,r,G3,G3,G3,G2,G1
83.25,70.3521,22,1.25,G5,r,r,r,G4,r,G3,r,G1,r,r,r,r,r,r,r,r,r,r,A3,A3,G3,G2,G1
83.375,70.4577,22,1.375,G5,r,r,r,G4,r,G3,r,G1,r,r,r,r,r,r,r,r,r,r,B3,B3,G3,G2,G1
83.5,70.5634,22,1.5,G#5,r,r,r,G#4,r,G#3,r,G1,r,r,r,r,r,r,r,r,r,r,C4,C4,G3,G2,G1
83.625,70.669,22,1.625,G#5,r,r,r,G#4,r,G#3,r,G1,r,r,r,r,r,r,r,r,r,r,C4,C4,G3,G2,G1
83.75,70.7746,22,1.75,G#5,r,r,r,G#4,r,G#3,r,A1,r,r,r,r,r,r,r,r,r,r,C4,C4,A3,A2,A1
83.875,70.8803,22,1.875,G#5,r,r,r,G#4,r,G#3,r,B1,r,r,r,r,r,r,r,r,r,r,C4,C4,B3,B2,B1
84.0,70.9859,22,2.0,G#5,r,r,r,G#4,r,G#3,r,C2,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
84.125,71.0915,22,2.125,G#5,r,r,r,G#4,r,G#3,r,C2,r,r,r,r,r,r,r,r,r,r,B3,B3,C4,C3,C2
84.25,71.1972,22,2.25,G5,r,r,r,G4,r,G3,r,C2,r,r,r,r,r,r,r,r,r,r,C4,C4,C4,C3,C2
84.375,71.3028,22,2.375,G5,r,r,r,G4,r,G3,r,C2,r,r,r,r,r,r,r,r,r,r,D4,D4,C4,C3,C2
84.5,71.4085,22,2.5,D6,r,r,r,D5,r,D4,r,C2,r,r,r,r,r,r,r,r,r,r,E-4,E-4,C4,C3,C2
84.625,71.5141,22,2.625,D6,r,r,r,D5,r,D4,r,B1,r,r,r,r,r,r,r,r,r,r,E-4,E-4,B3,B2,B1
84.75,71.6197,22,2.75,D6,r,r,r,D5,r,D4,r,C2,r,r,r,r,r,r,r,r,r,r,E-4,E-4,C4,C3,C2
84.875,71.7254,22,2.875,D6,r,r,r,D5,r,D4,r,D2,r,r,r,r,r,r,r,r,r,r,E-4,E-4,D4,D3,D2
85.0,71.831,22,3.0,D6,r,r,r,D5,r,D4,r,E-2,r,r,r,r,r,r,r,r,r,r,E-4,E-4,E-4,E-3,E-2
85.125,71.9366,22,3.125,D6,r,r,r,D5,r,D4,r,E-2,r,r,r,r,r,r,r,r,r,r,D4,D4,E-4,E-3,E-2
