qstamp,tstamp,measure,beat,Flute 1,Flute 2,Oboe 1,Oboe 2,Bassoon 1,Bassoon 2,F Horn 1,F Horn 2,Trombone 1,Trombone 2,Trombone 3,Harp,Soprano,Alto,Tenor,Bass,Viola 1,Viola 2,Violoncello 1,Violoncello 2,Violoncello 3,Contrabass
157.0,102.3913,40,2.0,C6,E5,E5,B-4,G3,C3,r,r,r,r,r,r,C5,E4,G3,C3,E4,G3,r,r,C2,C1
157.5,102.7174,40,2.5,C6,E5,E5,B-4,G3,C3,r,r,r,r,r,r,C5,E4,G3,C3,E4,G3,E3,C3,C2,C1
158.0,103.0435,40,3.0,D6,B-5,C5,C5,G3,C3,r,r,r,r,r,r,D5,B-4,G3,C3,E4,B-3,G3,C3,C2,C1
158.5,103.3696,40,3.5,D6,B-5,C5,C5,G3,C3,r,r,r,r,r,r,D5,B-4,G3,C3,E4,B-3,G3,C3,C2,C1
159.0,103.6957,40,4.0,E6,B-5,B-4,B-4,C4,C3,r,r,r,r,r,r,E5,B-4,C4,C3,E4,B-3,r,r,C2,C1
159.5,104.0217,40,4.5,E6,B-5,B-4,B-4,C4,C3,r,r,r,r,r,r,E5,B-4,C4,C3,E4,B-3,C4,C3,C2,C1
160.0,104.3478,41,1.0,G6,B-5,E5,B-4,C4,F2,r,r,r,r,r,r,G5,B-4,C4,F3,B-4,E4,C4,F3,F2,F1
160.5,104.6739,41,1.5,G6,B-5,E5,B-4,C4,F2,r,r,r,r,r,r,G5,B-4,C4,F3,B-4,E4,C4,F3,F2,F1
161.0,105.0,41,2.0,G6,B-5,E5,B-4,C4,F2,r,r,r,r,r,r,G5,B-4,C4,F3,B-4,E4,C4,F3,F2,F1
161.3333,105.2174,41,2.3333,G6,B-5,E5,B-4,C4,F2,r,r,r,r,r,r,G5,B-4,C4,F3,B-4,E4,C4,F3,F2,F1
161.5,105.3261,41,2.5,G6,B-5,E5,B-4,C4,F2,r,r,r,r,r,r,G5,B-4,C4,F3,B-4,E4,C4,F3,F2,F1
161.6667,105.4348,41,2.6667,G6,B-5,E5,B-4,C4,F2,r,r,r,r,r,r,G5,B-4,C4,F3,B-4,E4,C4,F3,F2,F1
162.0,105.6522,41,3.0,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
162.3333,105.8695,41,3.3333,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
162.5,105.9783,41,3.5,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
162.6667,106.087,41,3.6667,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
163.0,106.3043,41,4.0,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
163.3333,106.5217,41,4.3333,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
163.5,106.6304,41,4.5,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
163.6667,106.7392,41,4.6667,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
164.0,106.9565,42,1.0,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
164.3333,107.1739,42,1.3333,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
164.5,107.2826,42,1.5,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
164.6667,107.3913,42,1.6667,G6,B-5,E5,B-4,C#4,F2,r,r,r,r,r,r,G5,B-4,C#4,F3,B-4,E4,C#4,F3,F2,F1
