qstamp_start,qstamp_end,Flute 1,Flute 2,Oboe 1,Oboe 2,Bb Clarinet 1,Bb Clarinet 2,Bassoon 1,Bassoon 2,Contrabassoon,C Horn 1,C Horn 2,Eb Horn 3,Eb Horn 4,C Trumpet 1,C Trumpet 2,Timpani,Violin 1,Violin 2,Viola,Violoncello,Contrabass
785.5,793.5,P8(Oboe 1),P8(Oboe 2),P8(Flute 1),P8(Flute 2),Main Part,,,,,,,P5(Eb Horn 4)&P2(Violin 2),P5(Eb Horn 3)&P4(Violin 2),,,,,P2(Eb Horn 3)&P4(Eb Horn 4),,,
793.5,816.0,,,,,Main Part,,,,,,,,,,,,,,,,
816.0,827.5,,,,,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,Main Part,,,,,,,,,
827.5,843.0,,,,,,,,,,,,Main Part,,,,,P8(Violin 2),P8(Violin 1),,,
843.0,856.0,P5(Flute 2)&P4(C Horn 1),P5(Flute 1)&P2(C Horn 1),,,,,,U(Main),,P4(Flute 1)&P2(Flute 2),,,,,,,,,Main Part,,
856.0,888.0,,,,,,,,,,,,,,,,,P4(Violin 2),P4(Violin 1),Main Part,,
888.0,897.0,,,,,,,,,,,,U(Eb Horn 4),U(Eb Horn 3),,,,Main Part,,,,
897.0,909.0,P8(Oboe 1),,P8(Flute 1),,,,,,,,,,,,,,Main Part,P3(Violoncello),,P3(Main)&P3(Violin 2),
909.0,912.0,P8(Oboe 1)&P3(Violoncello),,P8(Flute 1)&P3(Violoncello),,P8(Bassoon 1),,P8(Bb Clarinet 1),,,,,,,,,,Main Part,P5(Main)&P8(Viola)&P3(Violoncello),P5(Main)&P8(Violin 2)&P3(Violoncello),P3(Flute 1)&P3(Oboe 1)&P3(Main)&P3(Violin 2)&P3(Viola),
912.0,915.0,P8(Oboe 1),,P8(Flute 1),,P8(Bassoon 1)&P3(Violoncello)&P3(Contrabass),U(Eb Horn 3),P8(Bb Clarinet 1)&P3(Violoncello)&P3(Contrabass),,,,,U(Bb Clarinet 2),,,,,Main Part,P5(Main),P3(Violoncello)&P3(Contrabass),P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(Viola)&P8(Contrabass),P3(Bb Clarinet 1)&P3(Bassoon 1)&P3(Viola)&P8(Violoncello)
915.0,922.5,,,,,U(Bb Clarinet 2),U(Bb Clarinet 1),,,,,,,,,,,Main Part,U(Main),,,
922.5,928.5,P2(Flute 2)&P8(Eb Horn 3)&P2(Eb Horn 4),P2(Flute 1)&P2(Eb Horn 3)&P8(Eb Horn 4),,,,,,,,,,P8(Flute 1)&P2(Flute 2)&P2(Eb Horn 4),P2(Flute 1)&P8(Flute 2)&P2(Eb Horn 3),,,,Main Part,U(Main),,P3(Contrabass),P3(Violoncello)
928.5,959.5,Main Part,P8(Bb Clarinet 2),,,P8(Main),P8(Flute 2),P8(Contrabassoon),,P8(Bassoon 1),,,,,,,,,,,,
959.5,982.5,Main Part,U(Main)&U(Violin 1),,,,,,,P8(Violoncello)&U(Contrabass),,,,,,,,U(Main)&U(Flute 2),,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
982.5,1006.5,,,,,,,,,P8(Violoncello)&U(Contrabass),P8(C Horn 2),P8(C Horn 1),P8(Eb Horn 4),P8(Eb Horn 3),U(C Trumpet 2),U(C Trumpet 1),,Main Part,,,P8(Contrabassoon)&P8(Contrabass),U(Contrabassoon)&P8(Violoncello)
